,file_name,compile_time,run_time,status
0,00_comment2.sy,62.06250190734863,31.047582626342773,AC
1,00_main.sy,21.618366241455078,12.716293334960938,AC
2,01_multiple_returns.sy,23.663997650146484,14.412403106689453,AC
3,01_var_defn2.sy,21.95572853088379,12.966156005859375,AC
4,02_ret_in_block.sy,24.76978302001953,11.677265167236328,AC
5,02_var_defn3.sy,20.856857299804688,12.442588806152344,AC
6,03_arr_defn2.sy,20.955324172973633,12.063741683959961,AC
7,03_branch.sy,54.40831184387207,12.809991836547852,AC
8,04_arr_defn3.sy,43.22648048400879,12.296438217163086,AC
9,04_break_continue.sy,49.84164237976074,11.782407760620117,AC
10,05_arr_defn4.sy,57.92236328125,21.381378173828125,AC
11,05_param_name.sy,23.389339447021484,12.049198150634766,AC
12,06_const_var_defn2.sy,20.494699478149414,12.001276016235352,AC
13,06_func_name.sy,22.014856338500977,11.469364166259766,AC
14,07_arr_init_nd.sy,45.732736587524414,11.761903762817383,AC
15,07_const_var_defn3.sy,63.15779685974121,11.955499649047852,AC
16,08_const_array_defn.sy,24.933576583862305,12.150764465332031,AC
17,08_global_arr_init.sy,22.771358489990234,11.23499870300293,AC
18,09_BFS.sy,103.54495048522949,34.79146957397461,AC
19,09_func_defn.sy,24.321556091308594,12.309074401855469,AC
20,10_DFS.sy,105.92126846313477,47.615766525268555,AC
21,10_var_defn_func.sy,49.51024055480957,11.81650161743164,AC
22,11_BST.sy,173.2337474822998,14.737367630004883,AC
23,11_add2.sy,57.771921157836914,12.14289665222168,AC
24,12_DSU.sy,103.58476638793945,29.108762741088867,AC
25,12_addc.sy,45.409440994262695,11.843442916870117,AC
26,13_LCA.sy,104.11834716796875,20.815372467041016,AC
27,13_sub2.sy,21.355867385864258,11.274576187133789,AC
28,14_dp.sy,58.18057060241699,15.052080154418945,AC
29,14_subc.sy,21.65389060974121,12.087106704711914,AC
30,15_graph_coloring.sy,71.86603546142578,13.933420181274414,AC
31,15_mul.sy,20.378589630126953,12.074708938598633,AC
32,16_k_smallest.sy,55.692434310913086,14.30654525756836,AC
33,16_mulc.sy,24.266719818115234,11.993885040283203,AC
34,17_div.sy,20.926952362060547,12.597084045410156,AC
35,17_maximal_clique.sy,60.654640197753906,14.336347579956055,AC
36,18_divc.sy,20.453929901123047,11.605978012084961,AC
37,18_prim.sy,86.0590934753418,17.181873321533203,AC
38,19_mod.sy,20.07317543029785,11.509180068969727,AC
39,19_search.sy,104.66623306274414,15.188455581665039,AC
40,20_rem.sy,20.26963233947754,11.803388595581055,AC
41,20_sort.sy,132.39645957946777,21.52848243713379,AC
42,21_if_test2.sy,31.920671463012695,13.514995574951172,AC
43,21_union_find.sy,50.44388771057129,14.51420783996582,AC
44,22_if_test3.sy,25.755882263183594,12.156248092651367,AC
45,22_matrix_multiply.sy,60.52398681640625,14.965295791625977,AC
46,23_if_test4.sy,26.030540466308594,11.188268661499023,AC
47,23_json.sy,2848.562240600586,16.530752182006836,AC
48,24_array_only.sy,67.44885444641113,14.418601989746094,AC
49,24_if_test5.sy,25.666475296020508,12.43281364440918,AC
50,25_scope3.sy,33.18476676940918,14.336585998535156,AC
51,25_while_if.sy,35.0499153137207,13.778448104858398,AC
52,26_scope4.sy,67.51108169555664,13.809919357299805,AC
53,26_while_test1.sy,26.637554168701172,12.538909912109375,AC
54,27_scope5.sy,382.6274871826172,12.38250732421875,AC
55,27_while_test2.sy,37.450313568115234,13.573884963989258,AC
56,28_side_effect2.sy,219.32387351989746,14.568090438842773,AC
57,28_while_test3.sy,55.07063865661621,11.595726013183594,AC
58,29_break.sy,26.029109954833984,12.042045593261719,AC
59,29_long_line.sy,13573.486328125,1351.7539501190186,AC
60,30_continue.sy,25.948762893676758,11.796236038208008,AC
61,30_many_dimensions.sy,224.87926483154297,28.81932258605957,AC
62,31_many_indirections.sy,53.16042900085449,14.013528823852539,AC
63,31_while_if_test1.sy,30.504226684570312,13.202428817749023,AC
64,32_many_params3.sy,264.8029327392578,15.361547470092773,AC
65,32_while_if_test2.sy,35.15887260437012,14.923572540283203,AC
66,33_multi_branch.sy,2636.1749172210693,23.53358268737793,AC
67,33_while_if_test3.sy,33.57863426208496,12.498617172241211,AC
68,34_arr_expr_len.sy,27.159929275512695,13.221502304077148,AC
69,34_multi_loop.sy,83.37020874023438,2418.402671813965,AC
70,35_math.sy,118.7276840209961,18.064260482788086,AC
71,35_op_priority1.sy,24.178266525268555,12.433767318725586,AC
72,36_op_priority2.sy,22.9642391204834,12.241125106811523,AC
73,36_rotate.sy,126.55520439147949,137.72964477539062,AC
74,37_dct.sy,141.30043983459473,34.75666046142578,AC
75,37_op_priority3.sy,24.890422821044922,12.586832046508789,AC
76,38_light2d.sy,122.98417091369629,5381.3135623931885,AC
77,38_op_priority4.sy,34.84082221984863,15.748262405395508,AC
78,39_fp_params.sy,377.32481956481934,17.904281616210938,AC
79,39_op_priority5.sy,32.60922431945801,13.561487197875977,AC
80,40_unary_op.sy,25.122880935668945,11.823654174804688,AC
81,41_unary_op2.sy,27.135848999023438,15.225648880004883,AC
82,42_empty_stmt.sy,22.986173629760742,12.273788452148438,AC
83,43_logi_assign.sy,26.39317512512207,14.682531356811523,AC
84,44_stmt_expr.sy,26.03912353515625,13.975381851196289,AC
85,45_comment1.sy,21.60930633544922,12.239456176757812,AC
86,46_hex_defn.sy,20.794391632080078,12.23301887512207,AC
87,47_hex_oct_add.sy,22.554397583007812,11.199235916137695,AC
88,48_assign_complex_expr.sy,23.76532554626465,13.731956481933594,AC
89,49_if_complex_expr.sy,34.14154052734375,14.561891555786133,AC
90,50_short_circuit.sy,46.73266410827637,15.528678894042969,AC
91,51_short_circuit3.sy,80.46460151672363,14.046430587768555,AC
92,52_scope.sy,34.319162368774414,14.271259307861328,AC
93,53_scope2.sy,31.281471252441406,14.238119125366211,AC
94,54_hidden_var.sy,41.945695877075195,15.73491096496582,AC
95,55_sort_test1.sy,41.8696403503418,14.50347900390625,AC
96,56_sort_test2.sy,42.01698303222656,13.891458511352539,AC
97,57_sort_test3.sy,56.11157417297363,14.230012893676758,AC
98,58_sort_test4.sy,45.485496520996094,14.989376068115234,AC
99,59_sort_test5.sy,62.027931213378906,14.76430892944336,AC
100,60_sort_test6.sy,52.26254463195801,15.118837356567383,AC
101,61_sort_test7.sy,76.51519775390625,20.2481746673584,AC
102,62_percolation.sy,108.21008682250977,15.224218368530273,AC
103,63_big_int_mul.sy,71.59900665283203,14.68205451965332,AC
104,64_calculator.sy,261.26813888549805,15.312910079956055,AC
105,65_color.sy,249.85623359680176,79.82206344604492,AC
106,66_exgcd.sy,34.70182418823242,13.266801834106445,AC
107,67_reverse_output.sy,26.473283767700195,16.129255294799805,AC
108,68_brainfk.sy,86.06219291687012,16.703367233276367,AC
109,69_expr_eval.sy,140.4745578765869,15.403985977172852,AC
110,70_dijkstra.sy,75.89602470397949,15.761852264404297,AC
111,71_full_conn.sy,276.59034729003906,16.045808792114258,AC
112,72_hanoi.sy,33.86044502258301,15.440702438354492,AC
113,73_int_io.sy,46.67043685913086,15.35654067993164,AC
114,74_kmp.sy,59.232234954833984,15.071868896484375,AC
115,75_max_flow.sy,81.01034164428711,14.915227890014648,AC
116,76_n_queens.sy,55.579185485839844,15.577316284179688,AC
117,77_substr.sy,67.11077690124512,14.136552810668945,AC
118,78_side_effect.sy,45.26114463806152,14.311552047729492,AC
119,79_var_name.sy,31.850337982177734,14.346837997436523,AC
120,80_chaos_token.sy,38.71965408325195,14.49728012084961,AC
121,81_skip_spaces.sy,28.48076820373535,13.967275619506836,AC
122,82_long_func.sy,3383.331060409546,19.17862892150879,AC
123,83_long_array.sy,74.38063621520996,14.456510543823242,AC
124,84_long_array2.sy,34.604549407958984,14.485359191894531,AC
125,85_long_code.sy,183.6252212524414,14.255523681640625,AC
126,86_long_code2.sy,12117.315769195557,22.03989028930664,AC
127,87_many_params.sy,139.73188400268555,14.944314956665039,AC
128,88_many_params2.sy,46.53358459472656,13.792037963867188,AC
129,89_many_globals.sy,76.75576210021973,15.862226486206055,AC
130,90_many_locals.sy,45.07184028625488,14.388322830200195,AC
131,91_many_locals2.sy,48.94375801086426,16.00503921508789,AC
132,92_register_alloc.sy,95.03769874572754,15.543937683105469,AC
133,93_nested_calls.sy,75.79326629638672,15.76995849609375,AC
134,94_nested_loops.sy,158.9486598968506,15.074014663696289,AC
135,95_float.sy,100.73637962341309,17.621994018554688,AC
136,96_matrix_add.sy,59.761762619018555,14.703512191772461,AC
137,97_matrix_sub.sy,59.30471420288086,14.30368423461914,AC
138,98_matrix_mul.sy,78.79281044006348,14.849185943603516,AC
139,99_matrix_tran.sy,59.20219421386719,14.911890029907227,AC
